x,y
2.315430024201048198e+01,4.701610995250738512e+01
1.828834200914009855e+01,5.140731937476446944e+01
1.732069610956735772e+01,4.792965169589634655e+01
1.702716154479110600e+01,5.402506897930494745e+01
1.503236094944047174e+01,4.858899314256789381e+01
8.498272556873704531e+00,4.210402640549980191e+01
1.886351708932519600e+01,4.902650301243482289e+01
1.522833961365244626e+01,5.835714387728422992e+01
1.042466606045205069e+01,4.573994957795239458e+01
1.509497030481659152e+01,5.106656853045899425e+01
2.040457060337507755e+01,5.013917245676779544e+01
9.854557340503244944e+00,5.242140023674748761e+01
1.572635742375385881e+01,5.575413180852439154e+01
1.380708375189401416e+01,5.336459570606449887e+01
2.088115127569338725e+01,5.206440621055144646e+01
2.416589037832545372e+01,4.115138470234130352e+01
1.880651866057359101e+01,4.990862485527644310e+01
1.478006924352083828e+01,4.041144371074943109e+01
1.707542677987859747e+01,4.240427215496563207e+01
1.425960627123359359e+01,4.993498641118635106e+01
9.025478940145694295e+00,5.164031329585473884e+01
1.181709766103472603e+01,5.131160578994837351e+01
1.374508673236161904e+01,4.203637737798276675e+01
8.848805029765706820e+00,4.481498567697876467e+01
2.061546215565997997e+01,4.431244510892226174e+01
1.990277302790641301e+01,5.729334423596613135e+01
1.593173129242066111e+01,4.580210940763582528e+01
1.901688215322838715e+01,5.405791205995621596e+01
1.742320010080814541e+01,4.500764649986318489e+01
1.285863138299646380e+01,4.849496035027846119e+01
1.016627815842537075e+01,4.520088917170166098e+01
2.084362687710263273e+01,6.343867338830926883e+01
1.338004429856266597e+01,5.419619460254111232e+01
1.802357808436612530e+01,5.946598905954873260e+01
1.672667978787515963e+01,4.960688224159278548e+01
8.390367573457046646e+00,5.116872257176844130e+01
1.576614976883584873e+01,5.910125948075777558e+01
1.348428763882065162e+01,4.966011329527606932e+01
1.886114191943426022e+01,4.525821002063111820e+01
8.979377001200575137e+00,5.118881127605197179e+01
1.728625400624093444e+01,5.437999671428107007e+01
1.847607977690338288e+01,5.135363508615638750e+01
1.524222878488460786e+01,5.624122852996724475e+01
1.809661958617991573e+01,4.921899871558685646e+01
1.655597652779518469e+01,5.098557747367166115e+01
2.625393419508424842e+01,5.030735836227852786e+01
1.690758235592938163e+01,4.709620538564669090e+01
1.815474461497769809e+01,4.407920991456414583e+01
1.729980418069673931e+01,4.730663429972376122e+01
2.064195447794549310e+01,5.496510725062199754e+01
2.203293712277426408e+01,5.284943403739686119e+01
5.781461080428719868e+00,5.780438904187640503e+01
8.303231768625524367e+00,4.977905173205860478e+01
1.347151021944022098e+01,4.845660784868395865e+01
1.682751333622082868e+01,5.422375577844355377e+01
4.887392854192111002e+00,4.610123224815758647e+01
2.129091180272973105e+01,5.211631298722812033e+01
1.723037332772165797e+01,4.974423057954493999e+01
1.326149509706283247e+01,4.698545774778549600e+01
1.744128124450601547e+01,5.204755140500092381e+01
1.437657657821009138e+01,4.969937132184825401e+01
1.252452994085068561e+01,5.237874710434987691e+01
1.413484774770157770e+01,4.554341680868095210e+01
1.280270174424570229e+01,5.182032862389824857e+01
1.341313107863067700e+01,4.659719380022026769e+01
1.607341582997033669e+01,4.478727965134133626e+01
8.654448062821478160e+00,5.649227289144560160e+01
1.152845344142033568e+01,4.167452526841644556e+01
1.912124186866823905e+01,5.649433904129548978e+01
2.125139740567538027e+01,4.428788816887910684e+01
1.462660525294232983e+01,4.854329708315299996e+01
1.438412314873203002e+01,4.128540050361333869e+01
9.779461769611751620e+00,5.037214534705987745e+01
1.056191901029220581e+01,5.374661807836861271e+01
8.086940761030714242e+00,4.786939749749542017e+01
2.461672218450270577e+01,4.652663901516164202e+01
1.849308381229471721e+01,4.907936855356136618e+01
4.721955165797391274e+00,4.625884501303930563e+01
2.725504110871395724e+01,4.263299280522646484e+01
1.489734231184357327e+01,4.925870302572640469e+01
1.438529801756147108e+01,5.429908045761801816e+01
1.181739496275431733e+01,5.003752334442162208e+01
1.328096556657326133e+01,5.282807199120617980e+01
1.475842131091387799e+01,4.796932176369048761e+01
1.860300973004069292e+01,5.568022772003842391e+01
1.798716511935341344e+01,5.650598474416993611e+01
1.366962955759907317e+01,5.021164042989010312e+01
1.848337801114660550e+01,4.999617839198213431e+01
8.683869146853714582e+00,4.964901632536055587e+01
1.769365593962551486e+01,4.490350571874591878e+01
1.219766721989267211e+01,4.457415306306427283e+01
2.301159770053133968e+01,5.381935168358159416e+01
1.724762059075823117e+01,4.314422094589815515e+01
1.616430858024508055e+01,5.113385090884311523e+01
2.420372921521028786e+01,5.112146406584821534e+01
2.163810164296288718e+01,5.025221657339670145e+01
1.635733934789111288e+01,5.002142787172223848e+01
9.111884673382421695e+00,4.501944808138946996e+01
1.643448853304925450e+01,5.120501068161009073e+01
1.955348448021871022e+01,3.686975559883214260e+01
1.383638032609900392e+01,5.012611738739769862e+01
1.460782772583218225e+01,5.415047642905587821e+01
2.006526305455764714e+01,4.254026203277767593e+01
1.597287417225504136e+01,4.136693464354421224e+01
2.074413587634854039e+01,4.419351489517501363e+01
1.901148762418354821e+01,4.764647173812456771e+01
1.559813292307333477e+01,5.609117100858219374e+01
1.908177983417782286e+01,5.732711655865599454e+01
1.909964185014414895e+01,5.899661053085976903e+01
1.412542243198363323e+01,4.362226075722590934e+01
1.691969567472704128e+01,4.889264726824698215e+01
